Style,Clothing,Category
Sporty,Gym shoes,Shoes
Sporty,Joggers,Bottoms
Sporty,Sweatpants,Bottoms
Sporty,Leggings,Bottoms
Sporty,Racerback tank tops,Top
Sporty,Athletic t-shirts,Top
Sporty,Crewnecks,Top
Sporty,Athletic shorts,Bottoms
Sporty,Baseball caps,Accessory
Sporty,Visors,Accessory
Sporty,Windbreakers,Coat
Sporty,Track jackets,Coat
Sporty,Crew socks,Accessory
Sporty,Yoga pants,Bottoms
Sporty,Fanny packs,Accessory
Sporty,Crossbody bags,Accessory
Sporty,Athletic skirts,Bottoms
Sporty,Athletic dresses,Dress
Bohemian,Floral maxi dresses,Dress
Bohemian,Floral maxi skirts,Bottoms
Bohemian,Crochet tops,Top
Bohemian,Crochet dresses,Dress
Bohemian,Bell-bottom pants,Bottoms
Bohemian,Kimonos,Dress
Bohemian,Duster jackets,Coat
Bohemian,Off-the-shoulder tops,Top
Bohemian,Off-the-shoulder dresses,Dress
Bohemian,Fringe shirts,Top
Bohemian,Fringe pants,Bottoms
Bohemian,Fringe skirts,Bottoms
Bohemian,Fringe dresses,Dress
Bohemian,Embroidered shirts,Top
Bohemian,Embroidered pants,Bottoms
Bohemian,Embroidered skirts,Bottoms
Bohemian,Embroidered dresses,Dress
Bohemian,Flowy blouses,Top
Bohemian,Flowy dresses,Dress
Bohemian,Flowy skirts,Bottoms
Bohemian,Oversized sunglasses,Accessory
Bohemian,Floppy hats,Accessory
Bohemian,Beaded jewelry,Accessory
Bohemian,Frayed denim shorts,Bottoms
Bohemian,Frayed denim jeans,Bottoms
Bohemian,Flared jeans,Bottoms
Bohemian,Lace blouses,Top
Bohemian,Lace dresses,Dress
Bohemian,Ruffled blouses,Top
Bohemian,Ruffled dresses,Dress
Bohemian,Ruffled skirts,Bottoms
Bohemian,Paisley shirts,Top
Bohemian,Paisley pants,Bottoms
Bohemian,Floral shirts,Top
Bohemian,Floral skirts,Bottoms
Bohemian,Floral pants,Bottoms
Bohemian,Floral dresses,Dress
Bohemian,Paisley dresses,Dress
