Name,Hex,HSL.H (deg),HSL.S (%),HSL.L (%),Red (R),Green (G),Blue (B)
auburn,#a52a2a,0,59,41,165,42,42
baby pink,#f4c2c2,0,69,86,244,194,194
black,#000000,0,0,0,0,0,0
boston university red,#cc0000,0,100,40,204,0,0
bright gray,#d3d3d3,0,0,83,211,211,211
brown,#a52a2a,0,59,41,165,42,42
carnelian,#b31b1b,0,74,40,179,27,27
copper rose,#996666,0,20,50,153,102,102
coral red,#ff4040,0,100,63,255,64,64
cornell red,#b31b1b,0,74,40,179,27,27
crimson red,#990000,0,100,30,153,0,0
cultured,#f5f5f5,0,0,96,245,245,245
cyclamen,#f56fa1,0,87,70,245,111,161
dark candy apple red,#a40000,0,100,32,164,0,0
dark gray,#a9a9a9,0,0,66,169,169,169
dark medium gray,#a9a9a9,0,0,66,169,169,169
dark red,#8b0000,0,100,27,139,0,0
dark sienna,#3c1414,0,50,16,60,20,20
davy's grey,#555555,0,0,33,85,85,85
deep maroon,#820000,0,100,26,130,0,0
deep red,#850101,0,99,26,133,1,1
dim gray,#696969,0,0,41,105,105,105
eerie black,#1b1b1b,0,0,11,27,27,27
falu red,#801818,0,68,30,128,24,24
firebrick,#b22222,0,68,42,178,34,34
fuzzy wuzzy,#cc6666,0,50,60,204,102,102
gainsboro,#dcdcdc,0,0,86,220,220,220
granite gray,#676767,0,0,40,103,103,103
gray,#808080,0,0,50,128,128,128
indian red,#cd5c5c,0,53,58,205,92,92
jet,#343434,0,0,20,52,52,52
light coral,#f08080,0,79,72,240,128,128
light gray,#bebebe,0,0,75,190,190,190
light salmon pink,#ff9999,0,100,80,255,153,153
lust,#e62020,0,80,51,230,32,32
maroon,#800000,0,100,25,128,0,0
maximum red,#d92121,0,74,49,217,33,33
medium gray,#808080,0,0,50,128,128,128
ou crimson red,#990000,0,100,30,153,0,0
permanent geranium lake,#e12c2c,0,75,53,225,44,44
persian plum,#701c1c,0,60,27,112,28,28
persian red,#cc3333,0,60,50,204,51,51
prune,#701c1c,0,60,27,112,28,28
quick silver,#a6a6a6,0,0,65,166,166,166
red,#ff0000,0,100,50,255,0,0
red-brown,#a52a2a,0,59,41,165,42,42
registration black,#000000,0,0,0,0,0,0
rose taupe,#905d5d,0,22,46,144,93,93
rosso corsa,#d40000,0,100,42,212,0,0
rosy brown,#bc8f8f,0,25,65,188,143,143
seal brown,#59260b,0,43,14,50,20,20
silver,#c0c0c0,0,0,75,192,192,192
silver chalice,#acacac,0,0,67,172,172,172
snow,#fffafa,0,100,99,255,250,250
sonic silver,#757575,0,0,46,117,117,117
spanish gray,#989898,0,0,60,152,152,152
stizza,#990000,0,100,30,153,0,0
tea rose,#f4c2c2,0,69,86,244,194,194
trolley grey,#808080,0,0,50,128,128,128
tuscan red,#7c4848,0,27,38,124,72,72
tuscany,#c09999,0,24,68,192,153,153
usc cardinal,#990000,0,100,30,153,0,0
white,#ffffff,0,0,100,255,255,255
white smoke,#f5f5f5,0,0,96,245,245,245
deep coffee,#704241,1,27,35,112,66,65
pastel pink,#dea5a4,1,47,76,222,165,164
roast coffee,#704241,1,27,35,112,66,65
spanish pink,#f7bfbe,1,78,86,247,191,190
candy apple red,#ff0800,2,100,50,255,8,0
tart orange,#fb4d46,2,96,63,251,77,70
vivid auburn,#922724,2,60,36,146,39,36
deep chestnut,#b94e48,3,45,50,185,78,72
engineering international orange,#ba160c,3,88,39,186,22,12
new york pink,#d7837f,3,52,67,215,131,127
pastel red,#ff6961,3,100,69,255,105,97
red-orange,#ff5349,3,100,64,255,83,73
silver pink,#c4aead,3,16,72,196,174,173
sweet brown,#a83731,3,55,43,168,55,49
barn red,#7c0a02,4,97,25,124,10,2
carmine pink,#eb4c42,4,81,59,235,76,66
cg red,#e03c31,4,74,54,224,60,49
golden gate bridge international orange,#c0362c,4,63,46,192,54,44
mordant red 19,#ae0c00,4,100,34,174,12,0
rose ebony,#674846,4,19,34,103,72,70
sunset orange,#fd5e53,4,98,66,253,94,83
cinnabar,#e34234,5,76,55,227,66,52
congo pink,#f88379,5,90,72,248,131,121
copper penny,#ad6f69,5,29,55,173,111,105
coral pink,#f88379,5,90,72,248,131,121
medium carmine,#af4035,5,54,45,175,64,53
pale carmine,#af4035,5,54,45,175,64,53
ryb red,#fe2712,5,99,53,254,39,18
