Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
Absolute zero,217.0,100.0,37.0
Acid green,65.0,76.0,43.0
Aero,206.0,70.0,70.0
Aero blue,151.0,100.0,89.0
African violet,288.0,31.0,63.0
Air Force blue (RAF),204.0,30.0,51.0
Air Force blue (USAF),220.0,100.0,28.0
Air superiority blue,205.0,39.0,60.0
Alabama crimson,346.0,100.0,34.0
Alabaster,346.0,32.0,93.0
Alice blue,208.0,100.0,97.0
Alien Armpit,85.0,98.0,44.0
Alizarin crimson,355.0,77.0,52.0
Alloy orange,27.0,85.0,42.0
Almond,30.0,52.0,87.0
Amaranth,348.0,78.0,53.0
Amaranth deep purple,328.0,57.0,40.0
Amaranth pink,338.0,75.0,78.0
Amaranth purple,342.0,63.0,41.0
Amaranth red,356.0,73.0,48.0
Amazon,147.0,35.0,35.0
Amazonite,356.0,100.0,38.0
Amber,45.0,100.0,50.0
Amber (SAE/ECE),30.0,100.0,50.0
American rose,346.0,100.0,51.0
Amethyst,270.0,50.0,60.0
Android green,74.0,55.0,50.0
Anti-flash white,210.0,8.0,95.0
Antique brass,22.0,47.0,63.0
Antique bronze,53.0,55.0,26.0
Antique fuchsia,316.0,22.0,46.0
Antique ruby,350.0,66.0,31.0
Antique white,34.0,78.0,91.0
Ao (English),120.0,100.0,25.0
Apple green,74.0,100.0,36.0
Apricot,24.0,90.0,84.0
Aqua,180.0,100.0,50.0
Aquamarine,160.0,100.0,75.0
Arctic lime,72.0,100.0,54.0
Army green,69.0,44.0,23.0
Arsenic,206.0,12.0,26.0
Artichoke,76.0,13.0,53.0
Arylide yellow,51.0,74.0,67.0
Ash grey,135.0,8.0,72.0
Asparagus,93.0,26.0,54.0
Atomic tangerine,20.0,100.0,70.0
Auburn,0.0,59.0,41.0
Aureolin,56.0,100.0,50.0
AuroMetalSaurus,183.0,8.0,47.0
Avocado,81.0,95.0,26.0
Awesome,81.0,95.0,56.0
Aztec Gold,38.0,48.0,55.0
Azure,210.0,100.0,50.0
Azure (web color),180.0,100.0,97.0
Azure mist,180.0,100.0,97.0
Azureish white,206.0,53.0,91.0
Baby blue,199.0,77.0,74.0
Baby blue eyes,209.0,74.0,79.0
Baby pink,0.0,69.0,86.0
Baby powder,60.0,67.0,99.0
Baker-Miller pink,344.0,100.0,78.0
Ball blue,192.0,72.0,47.0
Banana Mania,43.0,87.0,85.0
Banana yellow,51.0,100.0,60.0
Bangladesh green,164.0,100.0,21.0
Barbie pink,327.0,75.0,50.0
Barn red,4.0,97.0,25.0
Battery Charged Blue,194.0,76.0,48.0
Battleship grey,60.0,1.0,51.0
Bazaar,353.0,14.0,53.0
Beau blue,206.0,46.0,82.0
Beaver,22.0,20.0,53.0
Begonia,355.0,93.0,71.0
Beige,60.0,56.0,91.0
B'dazzled blue,215.0,53.0,38.0
Big dip o’ruby,345.0,62.0,38.0
Big Foot Feet,22.0,76.0,63.0
Bisque,33.0,100.0,88.0
Bistre,24.0,33.0,18.0
Bistre brown,43.0,73.0,34.0
Bitter lemon,66.0,89.0,46.0
Bitter lime,75.0,100.0,50.0
Bittersweet,6.0,99.0,68.0
Bittersweet shimmer,359.0,47.0,53.0
Black,0.0,0.0,0.0
Black bean,10.0,94.0,12.0
Black Coral,209.0,14.0,38.0
Black leather jacket,135.0,18.0,18.0
Black olive,70.0,5.0,22.0
Black Shadows,349.0,11.0,72.0
Blanched almond,36.0,100.0,90.0
Blast-off bronze,12.0,27.0,52.0
Bleu de France,210.0,79.0,55.0
Blizzard Blue,188.0,66.0,80.0
Blond,50.0,86.0,86.0
Blue,240.0,100.0,50.0
Blue (Crayola),217.0,99.0,56.0
Blue (Munsell),190.0,100.0,34.0
Blue (NCS),197.0,100.0,37.0
Blue (Pantone),231.0,100.0,33.0
