Name,Hue (degrees)
Absolute zero,217.0
Acid green,65.0
Aero,206.0
Aero blue,151.0
African violet,288.0
Air Force blue (RAF),204.0
Air Force blue (USAF),220.0
Air superiority blue,205.0
Alabama crimson,346.0
Alabaster,346.0
Alice blue,208.0
Alien Armpit,85.0
Alizarin crimson,355.0
Alloy orange,27.0
Almond,30.0
Amaranth,348.0
Amaranth deep purple,328.0
Amaranth pink,338.0
Amaranth purple,342.0
Amaranth red,356.0
Amazon,147.0
Amazonite,356.0
Amber,45.0
Amber (SAE/ECE),30.0
American rose,346.0
Amethyst,270.0
Android green,74.0
Anti-flash white,210.0
Antique brass,22.0
Antique bronze,53.0
Antique fuchsia,316.0
Antique ruby,350.0
Antique white,34.0
Ao (English),120.0
Apple green,74.0
Apricot,24.0
Aqua,180.0
Aquamarine,160.0
Arctic lime,72.0
Army green,69.0
Arsenic,206.0
Artichoke,76.0
Arylide yellow,51.0
Ash grey,135.0
Asparagus,93.0
Atomic tangerine,20.0
Auburn,0.0
Aureolin,56.0
AuroMetalSaurus,183.0
Avocado,81.0
Awesome,81.0
Aztec Gold,38.0
Azure,210.0
Azure (web color),180.0
Azure mist,180.0
Azureish white,206.0
Baby blue,199.0
Baby blue eyes,209.0
Baby pink,0.0
Baby powder,60.0
Baker-Miller pink,344.0
Ball blue,192.0
Banana Mania,43.0
Banana yellow,51.0
Bangladesh green,164.0
Barbie pink,327.0
Barn red,4.0
Battery Charged Blue,194.0
Battleship grey,60.0
Bazaar,353.0
Beau blue,206.0
Beaver,22.0
Begonia,355.0
Beige,60.0
B'dazzled blue,215.0
Big dip o’ruby,345.0
Big Foot Feet,22.0
Bisque,33.0
Bistre,24.0
Bistre brown,43.0
Bitter lemon,66.0
Bitter lime,75.0
Bittersweet,6.0
Bittersweet shimmer,359.0
Black,0.0
Black bean,10.0
Black Coral,209.0
Black leather jacket,135.0
Black olive,70.0
Black Shadows,349.0
Blanched almond,36.0
Blast-off bronze,12.0
Bleu de France,210.0
Blizzard Blue,188.0
Blond,50.0
Blue,240.0
Blue (Crayola),217.0
Blue (Munsell),190.0
Blue (NCS),197.0
Blue (Pantone),231.0
Blue (pigment),240.0
Blue (RYB),224.0
Blue Bell,240.0
Blue Bolt,196.0
Blue-gray,210.0
Blue-green,192.0
Blue Jeans,206.0
Blue Lagoon,188.0
Blue-magenta violet,261.0
Blue sapphire,197.0
Blue-violet,271.0
Blue yonder,217.0
Blueberry,220.0
Bluebonnet,240.0
Blush,342.0
Bole,9.0
Bondi blue,191.0
Bone,39.0
Booger Buster,63.0
Boston University Red,0.0
Bottle green,164.0
Boysenberry,328.0
Brandeis blue,214.0
Brass,52.0
Brick red,352.0
Bright cerulean,194.0
Bright green,96.0
Bright lavender,272.0
Bright lilac,285.0
Bright maroon,346.0
Bright navy blue,210.0
Bright pink,330.0
Bright turquoise,177.0
Bright ube,281.0
Bright Yellow (Crayola),37.0
Brilliant azure,210.0
Brilliant lavender,290.0
Brilliant rose,332.0
Brink pink,348.0
British racing green,154.0
Bronze,30.0
Bronze Yellow,58.0
Brown (traditional),30.0
Brown (web),0.0
Brown-nose,28.0
Brown Sugar,20.0
Brown Yellow,30.0
Brunswick green,162.0
Bubble gum,349.0
Bubbles,183.0
Bud green,102.0
Buff,49.0
Bulgarian rose,359.0
Burgundy,345.0
Burlywood,34.0
Burnished Brown,8.0
Burnt orange,25.0
Burnt sienna,14.0
Burnt umber,9.0
Byzantine,311.0
Byzantium,311.0
Cadet,199.0
Cadet blue,182.0
Cadet grey,205.0
Cadmium green,154.0
Cadmium orange,28.0
Cadmium red,351.0
Cadmium yellow,58.0
Café au lait,26.0
Café noir,30.0
Cal Poly Pomona green,137.0
Cambridge Blue,140.0
Camel,33.0
Cameo pink,340.0
Camouflage green,91.0
Canary,60.0
Canary yellow,56.0
Candy apple red,2.0
Candy pink,355.0
Capri,195.0
Caput mortuum,7.0
Cardinal,350.0
Caribbean green,165.0
Carmine,350.0
Carmine (M&P),342.0
Carmine pink,4.0
Carmine red,347.0
Carnation pink,336.0
Carnelian,0.0
Carolina blue,204.0
Carrot orange,33.0
Castleton green,164.0
Catalina blue,221.0
Catawba,348.0
Cedar Chest,8.0
Ceil,225.0
Celadon,123.0
Celadon blue,196.0
Celadon green,174.0
Celeste,180.0
Celestial blue,205.0
Cerise,343.0
Cerise pink,336.0
Cerulean,196.0
Cerulean blue,224.0
Cerulean frost,208.0
CG Blue,196.0
CG Red,4.0
Chamoisee,26.0
Champagne,37.0
Champagne pink,25.0
Charcoal,204.0
Charleston green,180.0
Charm pink,340.0
Chartreuse (traditional),68.0
Chartreuse (web),90.0
Cherry,343.0
Cherry blossom pink,348.0
Chestnut,10.0
China pink,333.0
China rose,340.0
Chinese red,11.0
Chinese violet,296.0
Chlorophyll green,103.0
Chocolate (traditional),31.0
Chocolate (web),25.0
Chrome yellow,39.0
Cinereous,12.0
Cinnabar,5.0
Cinnamon[citation needed],25.0
Cinnamon Satin,343.0
Citrine,54.0
Citron,64.0
Claret,343.0
Classic rose,326.0
Cobalt Blue,215.0
Cocoa brown,25.0
Coconut,19.0
Coffee,25.0
Columbia Blue,200.0
Congo pink,5.0
Cool Black,212.0
Cool grey,229.0
Copper,29.0
Copper (Crayola),18.0
Copper penny,5.0
Copper red,14.0
Copper rose,0.0
Coquelicot,13.0
Coral,16.0
Coral pink,5.0
Coral red,0.0
Coral Reef,6.0
Cordovan,355.0
Corn,54.0
Cornell Red,0.0
Cornflower blue,219.0
Cornsilk,48.0
Cosmic Cobalt,241.0
Cosmic latte,43.0
Coyote brown,62.0
Cotton candy,334.0
Cream,57.0
Crimson,348.0
Crimson glory,344.0
Crimson red,0.0
Cultured,0.0
Cyan,180.0
Cyan azure,209.0
Cyan-blue azure,210.0
Cyan cobalt blue,215.0
Cyan cornflower blue,199.0
Cyan (process),193.0
Cyber grape,263.0
Cyber yellow,50.0
Cyclamen,0.0
Daffodil,60.0
Dandelion,55.0
Dark blue,240.0
Dark blue-gray,240.0
Dark brown,30.0
Dark brown-tangelo,24.0
Dark byzantium,315.0
Dark candy apple red,0.0
Dark cerulean,209.0
Dark chestnut,10.0
Dark coral,10.0
Dark cyan,180.0
Dark electric blue,206.0
Dark goldenrod,43.0
Dark gray (X11),0.0
Dark green,158.0
Dark green (X11),120.0
Dark gunmetal,202.0
Dark imperial blue,203.0
Dark imperial blue,183.0
Dark jungle green,162.0
Dark khaki,56.0
Dark lava,27.0
Dark lavender,270.0
Dark liver,330.0
Dark liver (horses),12.0
Dark magenta,300.0
Dark medium gray,0.0
Dark midnight blue,210.0
Dark moss green,80.0
Dark olive green,82.0
Dark orange,33.0
Dark orchid,280.0
Dark pastel blue,212.0
Dark pastel green,138.0
Dark pastel purple,263.0
Dark pastel red,9.0
Dark pink,342.0
Dark powder blue,220.0
Dark puce,354.0
Dark purple,291.0
Dark raspberry,330.0
Dark red,0.0
Dark salmon,15.0
Dark scarlet,344.0
Dark sea green,120.0
Dark sienna,0.0
Dark sky blue,199.0
Dark slate blue,248.0
Dark slate gray,180.0
Dark spring green,150.0
Dark tan,45.0
Dark tangerine,38.0
Dark taupe,27.0
Dark terra cotta,353.0
Dark turquoise,181.0
Dark vanilla,32.0
Dark violet,282.0
Dark yellow,52.0
Dartmouth green,152.0
Davy's grey,0.0
Debian red,339.0
Deep aquamarine,161.0
Deep carmine,347.0
Deep carmine pink,357.0
Deep carrot orange,19.0
Deep cerise,330.0
Deep champagne,35.0
Deep chestnut,3.0
Deep coffee,1.0
Deep fuchsia,300.0
Deep Green,122.0
Deep green-cyan turquoise,165.0
Deep jungle green,178.0
Deep koamaru,240.0
Deep lemon,47.0
Deep lilac,280.0
Deep magenta,300.0
Deep maroon,0.0
Deep mauve,300.0
Deep moss green,129.0
Deep peach,26.0
Deep pink,328.0
Deep puce,351.0
Deep Red,0.0
Deep ruby,336.0
Deep saffron,30.0
Deep sky blue,195.0
Deep Space Sparkle,194.0
Deep spring bud,82.0
Deep Taupe,356.0
Deep Tuscan red,342.0
Deep violet,270.0
Deer,28.0
Denim,213.0
Denim Blue,227.0
Desaturated cyan,180.0
Desert,33.0
Desert sand,25.0
Desire,352.0
Diamond,191.0
Dim gray,0.0
Dingy Dungeon,347.0
Dirt,29.0
Dodger blue,210.0
Dogwood rose,335.0
Dollar bill,98.0
Dolphin Gray,130.0
Donkey brown,35.0
Drab,43.0
Duke blue,240.0
Dust storm,6.0
Dutch white,42.0
Earth yellow,34.0
Ebony,97.0
Ecru,45.0
Eerie black,0.0
Eggplant,329.0
Eggshell,46.0
Egyptian blue,226.0
Electric blue,183.0
Electric crimson,345.0
Electric cyan,180.0
Electric green,120.0
Electric indigo,266.0
Electric lavender,290.0
Electric lime,72.0
Electric purple,285.0
Electric ultramarine,255.0
Electric violet,274.0
Electric yellow,60.0
Emerald,140.0
Eminence,284.0
English green,162.0
English lavender,338.0
English red,356.0
English vermillion,358.0
English violet,289.0
Eton blue,134.0
Eucalyptus,161.0
Fallow,33.0
Falu red,0.0
Fandango,320.0
Fandango pink,338.0
Fashion fuchsia,320.0
Fawn,30.0
Feldgrau,143.0
Feldspar,28.0
Fern green,106.0
Ferrari Red,9.0
Field drab,42.0
Fiery Rose,350.0
Firebrick,0.0
Fire engine red,357.0
Flame,17.0
Flamingo pink,344.0
Flattery,28.0
Flavescent,52.0
Flax,50.0
Flirt,320.0
Floral white,40.0
Fluorescent orange,45.0
Fluorescent pink,328.0
Fluorescent yellow,72.0
Folly,341.0
Forest green (traditional),149.0
Forest green (web),120.0
French beige,26.0
French bistre,34.0
French blue,203.0
French fuchsia,334.0
French lilac,290.0
French lime,89.0
French mauve,300.0
French pink,339.0
French plum,325.0
French puce,11.0
French raspberry,349.0
French rose,338.0
French sky blue,212.0
French violet,279.0
French wine,344.0
Fresh Air,196.0
Frostbite,322.0
Fuchsia,300.0
Fuchsia (Crayola),300.0
Fuchsia pink,300.0
Fuchsia purple,333.0
Fuchsia rose,337.0
Fulvous,35.0
Fuzzy Wuzzy,0.0
Gainsboro,0.0
Gamboge,39.0
Gamboge orange (brown),40.0
Gargoyle Gas,50.0
Generic viridian,168.0
Ghost white,240.0
Giant's Club,6.0
Giants orange,16.0
Ginger,34.0
Glaucous,216.0
Glitter,234.0
Glossy Grape,285.0
GO green,156.0
Gold (metallic),46.0
Gold (web) (Golden),51.0
Gold Fusion,43.0
Golden brown,36.0
Golden poppy,46.0
Golden yellow,52.0
Goldenrod,43.0
Granite Gray,0.0
Granny Smith Apple,113.0
Grape,272.0
Gray,0.0
Gray (HTML/CSS gray),0.0
Gray (X11 gray),0.0
Gray-asparagus,117.0
Gray-blue,229.0
Green (Color Wheel) (X11 green),120.0
Green (Crayola),158.0
Green (HTML/CSS color),120.0
Green (Munsell),163.0
Green (NCS),160.0
Green (Pantone),143.0
Green (pigment),149.0
Green (RYB),95.0
Green-blue,209.0
Green-cyan,160.0
Green Lizard,84.0
Green Sheen,168.0
Green-yellow,84.0
Grizzly,34.0
Grullo,34.0
Guppie green,150.0
Gunmetal,200.0
Halayà úbe,323.0
Han blue,223.0
Han purple,255.0
Hansa yellow,51.0
Harlequin,105.0
Harlequin green,105.0
Harvard crimson,353.0
Harvest gold,40.0
Heart Gold,60.0
Heat Wave,29.0
Heidelberg Red[2],10.0
Heliotrope,286.0
Heliotrope gray,303.0
Heliotrope magenta,295.0
Hollywood cerise,320.0
Honeydew,120.0
Honolulu blue,203.0
Hooker's green,163.0
Hot magenta,313.0
Hot pink,330.0
Hunter green,129.0
Iceberg,207.0
Icterine,58.0
Iguana Green,126.0
Illuminating Emerald,164.0
Imperial,289.0
Imperial blue,226.0
Imperial purple,325.0
Imperial red,355.0
Inchworm,84.0
Independence,231.0
India green,115.0
Indian red,0.0
Indian yellow,35.0
Indigo,266.0
Indigo dye,230.0
Indigo (web),275.0
Infra Red,348.0
Interdimensional Blue,253.0
International Klein Blue,223.0
International orange (aerospace),19.0
International orange (engineering),3.0
International orange (Golden Gate Bridge),4.0
Iris,245.0
Irresistible,338.0
Isabelline,30.0
Islamic green,120.0
Italian sky blue,180.0
