Name,Hex,Red (R),Green (G),Blue (B),HSL.H (deg),HSL.S (%),HSL.L (%)
auburn,#a52a2a,165,42,42,0,59,41
baby pink,#f4c2c2,244,194,194,0,69,86
black,#000000,0,0,0,0,0,0
boston university red,#cc0000,204,0,0,0,100,40
bright gray,#d3d3d3,211,211,211,0,0,83
brown,#a52a2a,165,42,42,0,59,41
carnelian,#b31b1b,179,27,27,0,74,40
copper rose,#996666,153,102,102,0,20,50
coral red,#ff4040,255,64,64,0,100,63
cornell red,#b31b1b,179,27,27,0,74,40
crimson red,#990000,153,0,0,0,100,30
cultured,#f5f5f5,245,245,245,0,0,96
cyclamen,#f56fa1,245,111,161,0,87,70
dark candy apple red,#a40000,164,0,0,0,100,32
dark gray,#a9a9a9,169,169,169,0,0,66
dark medium gray,#a9a9a9,169,169,169,0,0,66
dark red,#8b0000,139,0,0,0,100,27
dark sienna,#3c1414,60,20,20,0,50,16
davy's grey,#555555,85,85,85,0,0,33
deep maroon,#820000,130,0,0,0,100,26
deep red,#850101,133,1,1,0,99,26
dim gray,#696969,105,105,105,0,0,41
eerie black,#1b1b1b,27,27,27,0,0,11
falu red,#801818,128,24,24,0,68,30
firebrick,#b22222,178,34,34,0,68,42
fuzzy wuzzy,#cc6666,204,102,102,0,50,60
gainsboro,#dcdcdc,220,220,220,0,0,86
granite gray,#676767,103,103,103,0,0,40
gray,#808080,128,128,128,0,0,50
indian red,#cd5c5c,205,92,92,0,53,58
jet,#343434,52,52,52,0,0,20
light coral,#f08080,240,128,128,0,79,72
light gray,#bebebe,190,190,190,0,0,75
light salmon pink,#ff9999,255,153,153,0,100,80
lust,#e62020,230,32,32,0,80,51
maroon (html/css),#800000,128,0,0,0,100,25
maximum red,#d92121,217,33,33,0,74,49
medium gray,#808080,128,128,128,0,0,50
ou crimson red,#990000,153,0,0,0,100,30
permanent geranium lake,#e12c2c,225,44,44,0,75,53
persian plum,#701c1c,112,28,28,0,60,27
persian red,#cc3333,204,51,51,0,60,50
prune,#701c1c,112,28,28,0,60,27
quick silver,#a6a6a6,166,166,166,0,0,65
red,#ff0000,255,0,0,0,100,50
red-brown,#a52a2a,165,42,42,0,59,41
registration black,#000000,0,0,0,0,0,0
rose taupe,#905d5d,144,93,93,0,22,46
rosso corsa,#d40000,212,0,0,0,100,42
rosy brown,#bc8f8f,188,143,143,0,25,65
seal brown,#59260b,50,20,20,0,43,14
silver,#c0c0c0,192,192,192,0,0,75
silver chalice,#acacac,172,172,172,0,0,67
snow,#fffafa,255,250,250,0,100,99
sonic silver,#757575,117,117,117,0,0,46
spanish gray,#989898,152,152,152,0,0,60
stizza,#990000,153,0,0,0,100,30
tea rose,#f4c2c2,244,194,194,0,69,86
trolley grey,#808080,128,128,128,0,0,50
tuscan red,#7c4848,124,72,72,0,27,38
tuscany,#c09999,192,153,153,0,24,68
usc cardinal,#990000,153,0,0,0,100,30
white,#ffffff,255,255,255,0,0,100
white smoke,#f5f5f5,245,245,245,0,0,96
deep coffee,#704241,112,66,65,1,27,35
pastel pink,#dea5a4,222,165,164,1,47,76
roast coffee,#704241,112,66,65,1,27,35
spanish pink,#f7bfbe,247,191,190,1,78,86
candy apple red,#ff0800,255,8,0,2,100,50
tart orange,#fb4d46,251,77,70,2,96,63
vivid auburn,#922724,146,39,36,2,60,36
deep chestnut,#b94e48,185,78,72,3,45,50
engineering international orange,#ba160c,186,22,12,3,88,39
new york pink,#d7837f,215,131,127,3,52,67
pastel red,#ff6961,255,105,97,3,100,69
red-orange,#ff5349,255,83,73,3,100,64
silver pink,#c4aead,196,174,173,3,16,72
sweet brown,#a83731,168,55,49,3,55,43
barn red,#7c0a02,124,10,2,4,97,25
carmine pink,#eb4c42,235,76,66,4,81,59
cg red,#e03c31,224,60,49,4,74,54
golden gate bridge international orange,#c0362c,192,54,44,4,63,46
mordant red 19,#ae0c00,174,12,0,4,100,34
rose ebony,#674846,103,72,70,4,19,34
sunset orange,#fd5e53,253,94,83,4,98,66
cinnabar,#e34234,227,66,52,5,76,55
congo pink,#f88379,248,131,121,5,90,72
copper penny,#ad6f69,173,111,105,5,29,55
coral pink,#f88379,248,131,121,5,90,72
medium carmine,#af4035,175,64,53,5,54,45
pale carmine,#af4035,175,64,53,5,54,45
ryb red,#fe2712,254,39,18,5,99,53
tea rose,#f88379,248,131,121,5,90,72
vermilion,#e34234,227,66,52,5,76,55
bittersweet,#fe6f5e,254,111,94,6,99,68
coral reef,#fd7c6e,253,124,110,6,97,71
dust storm,#e5ccc9,229,204,201,6,35,84
giant's club,#b05c52,176,92,82,6,37,51
licorice,#1a1110,26,17,16,6,24,8
misty rose,#ffe4e1,255,228,225,6,100,94
ogre odor,#fd5240,253,82,64,6,98,62
old burgundy,#43302e,67,48,46,6,19,22
redwood,#a45a52,164,90,82,6,33,48
salmon,#fa8072,250,128,114,6,93,71
caput mortuum,#592720,89,39,32,7,47,24
melon,#fdbcb4,253,188,180,7,95,85
wenge,#645452,100,84,82,7,10,36
burnished brown,#a17a74,161,122,116,8,19,54
cedar chest,#c95a49,201,90,73,8,54,54
jelly bean,#da614e,218,97,78,8,65,58
rufous,#a81c07,168,28,7,8,92,34
scarlet,#ff2400,255,36,0,8,100,50
vermilion,#d9381e,217,56,30,8,76,48
bole,#79443b,121,68,59,9,34,35
burnt umber,#8a3324,138,51,36,9,59,34
dark pastel red,#c23b22,194,59,34,9,70,45
ferrari red,#ff2800,255,40,0,9,100,50
liver,#674c47,103,76,71,9,18,34
medium taupe,#674c47,103,76,71,9,18,34
medium tuscan red,#79443b,121,68,59,9,34,35
tomato,#ff6347,255,99,71,9,100,64
black bean,#3d0c02,61,12,2,10,94,12
chestnut,#954535,149,69,53,10,48,40
dark chestnut,#986960,152,105,96,10,23,49
dark coral,#cd5b45,205,91,69,10,58,54
heidelberg red,#960018,150,0,24,10,100,29
orange soda,#fa5b3d,250,91,61,10,95,61
terra cotta,#e2725b,226,114,91,10,70,62
chinese red,#aa381e,170,56,30,11,70,39
french puce,#4e1609,78,22,9,11,79,17
portland orange,#ff5a36,255,90,54,11,100,61
blast-off bronze,#a57164,165,113,100,12,27,52
cinereous,#98817b,152,129,123,12,12,54
kenyan copper,#7c1c05,124,28,5,12,92,25
kobe,#882d17,136,45,23,12,71,31
organ liver,#6c2e1f,108,46,31,12,55,27
outrageous orange,#ff6e4a,255,110,74,12,100,65
sienna,#882d17,136,45,23,12,71,31
vivid tangerine,#ffa089,255,160,137,12,100,77
coquelicot,#ff3800,255,56,0,13,100,50
burnt sienna,#e97451,233,116,81,14,78,62
copper red,#cb6d51,203,109,81,14,54,56
light red ochre,#e97451,233,116,81,14,78,62
medium vermilion,#d9603b,217,96,59,14,68,54
dark salmon,#e9967a,233,150,122,15,72,70
middle red,#e58e73,229,144,115,15,69,68
orioles orange,#fb4f14,251,79,20,15,97,53
smokey topaz,#832a0d,131,42,34,15,59,32
coral,#ff7f50,255,127,80,16,100,66
giants orange,#fe5a1d,254,90,29,16,99,55
orange-red,#ff4500,255,69,0,16,100,50
smashed pumpkin,#ff6d3a,255,109,58,16,100,61
flame,#e25822,226,88,34,17,77,51
light salmon,#ffa07a,255,160,122,17,100,74
sinopia,#cb410b,203,65,11,17,90,42
spicy mix,#8b5f4d,139,95,77,17,29,42
crayola copper,#da8a67,218,138,103,18,61,63
mandarin,#f37a48,243,122,72,18,88,62
crayola orange,#ff7538,255,117,56,18,100,61
pale copper,#da8a67,218,138,103,18,61,63
rust,#b7410e,183,65,14,18,86,39
vivid orange peel,#ffa000,255,160,0,18,100,50
coconut,#965a3e,150,90,62,19,42,42
deep carrot orange,#e9692c,233,105,44,19,81,54
aerospace international orange,#ff4f00,255,79,0,19,100,50
tangelo,#f94d00,249,77,0,19,100,49
vivid vermilion,#e56024,229,96,36,19,79,52
atomic tangerine,#ff9966,255,153,102,20,100,70
brown sugar,#af6e4d,175,110,77,20,39,49
mahogany,#c04000,192,64,0,20,100,38
mango tango,#ff8243,255,130,67,20,100,63
pink-orange,#ff9966,255,153,102,20,100,70
vivid red-tangelo,#df6124,223,97,36,20,75,51
pantone orange,#ff5800,255,88,0,21,100,50
pale silver,#c9c0bb,201,192,187,21,11,76
umber,#635147,99,81,71,21,16,33
willpower orange,#fd5800,253,88,0,21,100,50
antique brass,#cd9575,205,149,117,22,47,63
beaver,#9f8170,159,129,112,22,20,53
big foot feet,#e88e5a,232,142,90,22,76,63
persimmon,#ec5800,236,88,0,22,100,46
unbleached silk,#ffddca,255,221,202,22,100,90
vivid orange,#ff5f00,255,95,0,22,100,50
vivid tangelo,#f07427,240,116,39,23,87,55
zinnwaldite brown,#2c1608,44,22,8,23,69,10
apricot,#fbceb1,251,206,177,24,90,84
bistre,#3d2b1f,61,43,31,24,33,18
dark brown-tangelo,#88654e,136,101,78,24,27,42
pumpkin,#ff7518,255,117,24,24,100,55
raw sienna,#d68a59,214,138,89,24,60,59
blaze orange,#ff6700,255,103,0,24,100,50
tumbleweed,#deaa88,222,170,136,24,57,70
burnt orange,#cc5500,204,85,0,25,100,40
champagne pink,#f1ddcf,241,221,207,25,55,88
chocolate,#d2691e,210,105,30,25,75,47
cinnamon,#d2691e,210,105,30,25,75,47
cocoa brown,#d2691e,210,105,30,25,75,47
coffee,#6f4e37,111,78,55,25,34,33
desert sand,#edc9af,237,201,175,25,63,81
pale taupe,#bc987e,188,152,126,25,32,62
ruddy brown,#bb6528,187,101,40,25,65,45
saddle brown,#8b4513,139,69,19,25,76,31
seashell,#fff5ee,255,245,238,25,100,97
spanish orange,#e86100,232,97,0,25,100,45
tenné,#cd5700,205,87,0,25,100,40
tawny,#cd5700,205,87,0,25,100,40
tuscan brown,#6f4e37,111,78,55,25,34,33
van dyke brown,#664228,102,66,40,25,44,28
very light tangelo,#ffb077,255,176,119,25,100,73
café au lait,#a67b5b,166,123,91,26,30,50
chamoisee,#a0785a,160,120,90,26,28,49
deep peach,#ffcba4,255,203,164,26,100,82
french beige,#a67b5b,166,123,91,26,30,50
light taupe,#b38b6d,179,139,109,26,32,56
peach,#ffcba4,255,203,164,26,100,82
persian orange,#d99058,217,144,88,26,63,60
princeton orange,#f58025,245,128,37,26,91,55
russet,#80461b,128,70,27,26,65,30
tuscan tan,#a67b5b,166,123,91,26,30,50
alloy orange,#c46210,196,98,16,27,85,42
dark lava,#483c32,72,60,50,27,18,24
dark taupe,#483c32,72,60,50,27,18,24
liver chestnut,#987456,152,116,86,27,28,47
macaroni and cheese,#ffbd88,255,189,136,27,100,77
taupe,#483c32,72,60,50,27,18,24
brown-nose,#6b4423,107,68,35,28,51,28
cadmium orange,#ed872d,237,135,45,28,84,55
deer,#ba8759,186,135,89,28,41,54
feldspar,#fdd5b1,253,213,177,28,95,84
flattery,#6b4423,107,68,35,28,51,28
kobicha,#6b4423,107,68,35,28,51,28
light apricot,#fdd5b1,253,213,177,28,95,84
light brown,#b5651d,181,101,29,28,72,41
lumber,#ffe4cd,255,228,205,28,100,90
pastel brown,#836953,130,105,83,28,22,42
peach puff,#ffdab9,255,218,185,28,100,86
safety orange,#ff7800,255,120,0,28,100,50
sandy brown,#f4a460,244,164,96,28,87,67
copper,#b87333,184,115,51,29,57,46
dirt,#9b7653,155,118,83,29,30,47
heat wave,#ff7a00,255,122,0,29,100,50
dogs liver,#b86d29,184,109,41,29,64,44
rajah,#fbab60,251,171,96,29,95,68
almond,#efdecd,239,222,205,30,52,87
bronze,#cd7f32,205,127,50,30,61,50
brown yellow,#cc9966,204,153,102,30,50,60
café noir,#4b3621,75,54,33,30,39,21
dark brown,#654321,101,67,33,30,51,26
deep saffron,#ff9933,255,153,51,30,100,60
ece amber,#ff7e00,255,126,0,30,100,50
fawn,#e5aa70,229,170,112,30,69,67
isabelline,#f4f0ec,244,240,236,30,27,94
linen,#faf0e6,250,240,230,30,67,94
mellow apricot,#f8b878,248,184,120,30,90,72
ochre,#cc7722,204,119,34,30,71,47
color wheel orange,#ff7f00,255,127,0,30,100,50
